
   t          f(t)        Pn(t)       Er(t)
3.650531     0.256529    0.231701   0.096784
3.656814     0.255915    0.232349   0.092084
3.663097     0.255315    0.233019   0.087330
3.669380     0.254731    0.233709   0.082526
3.675663     0.254162    0.234421   0.077671
3.681947     0.253608    0.235153   0.072768
3.688230     0.253069    0.235906   0.067819
3.694513     0.252544    0.236678   0.062824
3.700796     0.252035    0.237470   0.057786
3.707079     0.251540    0.238282   0.052706
3.713363     0.251059    0.239112   0.047587
3.719646     0.250594    0.239961   0.042429
3.725929     0.250143    0.240829   0.037234
3.732212     0.249706    0.241714   0.032005
3.738495     0.249284    0.242617   0.026742
3.744778     0.248876    0.243538   0.021449
3.751062     0.248482    0.244475   0.016126
3.757345     0.248103    0.245429   0.010775
3.763628     0.247738    0.246400   0.005400
3.769911     0.247387    0.247387   0.000000
3.776194     0.247050    0.248389   -0.005421
3.782478     0.246727    0.249407   -0.010863
3.788761     0.246418    0.250440   -0.016322
3.795044     0.246124    0.251489   -0.021797
3.801327     0.245843    0.252551   -0.027286
3.807610     0.245576    0.253628   -0.032787
3.813893     0.245323    0.254719   -0.038298
3.820177     0.245084    0.255823   -0.043818
3.826460     0.244859    0.256941   -0.049343
3.832743     0.244647    0.258072   -0.054872
3.839026     0.244450    0.259215   -0.060404
3.845309     0.244266    0.260371   -0.065935
3.851593     0.244096    0.261540   -0.071464
3.857876     0.243939    0.262720   -0.076989
3.864159     0.243796    0.263911   -0.082509
3.870442     0.243667    0.265114   -0.088019
3.876725     0.243551    0.266328   -0.093520
3.883009     0.243449    0.267553   -0.099009
3.889292     0.243361    0.268788   -0.104483
3.895575     0.243286    0.270034   -0.109941
3.901858     0.243225    0.271289   -0.115381
3.908141     0.243178    0.272554   -0.120800
3.914424     0.243144    0.273828   -0.126197
3.920708     0.243124    0.275111   -0.131570
3.926991     0.243117    0.276403   -0.136917
3.933274     0.243124    0.277704   -0.142235
3.939557     0.243144    0.279013   -0.147523
3.945840     0.243178    0.280330   -0.152778
3.952124     0.243225    0.281655   -0.158000
3.958407     0.243286    0.282987   -0.163185
3.964690     0.243361    0.284327   -0.168332
3.970973     0.243449    0.285673   -0.173439
3.977256     0.243551    0.287026   -0.178505
3.983539     0.243667    0.288386   -0.183526
3.989823     0.243796    0.289752   -0.188502
3.996106     0.243939    0.291124   -0.193431
4.002389     0.244096    0.292502   -0.198310
4.008672     0.244266    0.293886   -0.203139
4.014955     0.244450    0.295274   -0.207914
4.021239     0.244647    0.296668   -0.212635
4.027522     0.244859    0.298067   -0.217300
4.033805     0.245084    0.299470   -0.221907
4.040088     0.245323    0.300878   -0.226454
4.046371     0.245576    0.302290   -0.230940
4.052655     0.245843    0.303705   -0.235363
4.058938     0.246124    0.305125   -0.239721
4.065221     0.246418    0.306548   -0.244014
4.071504     0.246727    0.307974   -0.248239
4.077787     0.247050    0.309404   -0.252394
4.084070     0.247387    0.310836   -0.256479
4.090354     0.247738    0.312272   -0.260493
4.096637     0.248103    0.313709   -0.264432
4.102920     0.248482    0.315149   -0.268297
4.109203     0.248876    0.316591   -0.272086
4.115486     0.249284    0.318035   -0.275798
4.121770     0.249706    0.319481   -0.279431
4.128053     0.250143    0.320929   -0.282983
4.134336     0.250594    0.322378   -0.286455
4.140619     0.251059    0.323828   -0.289845
4.146902     0.251540    0.325279   -0.293151
4.153185     0.252035    0.326731   -0.296373
4.159469     0.252544    0.328183   -0.299509
4.165752     0.253069    0.329637   -0.302558
4.172035     0.253608    0.331090   -0.305520
4.178318     0.254162    0.332544   -0.308394
4.184601     0.254731    0.333998   -0.311178
4.190885     0.255315    0.335452   -0.313873
4.197168     0.255915    0.336906   -0.316476
4.203451     0.256529    0.338359   -0.318987
